SF Sennestadt;0;0;0;0;;
VfB Fichte Bielefeld;12;6;1;6;;
ESV Bielefeld;1;7;0;0;;
SC Bielefeld;0;0;0;0;;
Telekom Post SV Bielefeld e.V.;2;8;0;0;;
Spvg Steinhagen;4;10;0;0;;
SV Gadderbaum;2;8;0;0;;
SV Brackwede;9;3;0;0;;
TuS Joellenbeck;5;11;0;0;;
VfL Theesen;8;2;0;0;;
TuS Quelle;0;0;0;0;;
TTC Altenhagen;0;0;0;0;;
TuS 08 Senne 1 e.V.;0;0;0;0;;
TTC Dornberg;3;9;0;0;;
SC Halle;4;10;0;0;;
VfL Oldentrup;7;1;0;0;;
TuS Brake;10;4;0;0;;
CVJM Heepen;0;0;0;0;;
TTG Versmold;5;11;0;0;;
DJK BW Bielefeld;0;0;0;0;;
VfL Ummeln;0;0;0;0;;
TV Werther;12;6;4;9;;
TuS Eintracht Bielefeld;0;0;0;0;;
TuS Vilsendorf;0;0;0;0;;
Spvg. Heepen;5;11;5;10;;
BTG Bielefeld;1;7;0;0;;
TSVE 1890 Bielefeld;4;10;1;6;;
TuS Hillegossen;9;3;0;0;;
SV Ubbedissen;2;8;4;9;;
SC Babenhausen;5;11;0;0;;
VfL Viktoria Mennighueffen;0;0;0;0;;
TV Westfalia Buende;10;4;6;1;;
TuS Barduettingdorf-Wallenbrueck;6;12;2;7;;
TuS Huecker-Aschen;7;1;0;0;;
TG Herford;9;3;0;0;;
SC Herford;3;9;0;0;;
TV Lenzinghausen;4;10;0;0;;
TTC Mennighueffen;2;8;7;2;;
TTC Roedinghausen;8;2;0;0;;
TTSG Loehne;0;0;0;0;;
CVJM Exter;10;4;0;0;;
SG 1910 Frisch-Auf Herringhausen-Eickum e.V.;0;0;0;0;;
CVJM Wehrendorf;12;6;0;0;;
TuS Gohfeld;0;0;0;0;;
TV Elverdissen;0;0;0;0;;
Tischtennisclub Enger;6;12;5;10;;
CVJM St. Stephan Vlotho;0;0;0;0;;
DJK Adler Brakel;0;0;0;0;;
TTV Borgholz;11;5;8;3;;
TuS Bad Driburg;7;1;0;0;;
TTG Ikenhausen;7;1;8;3;;
Tischtennisverein Hoexter;12;6;0;0;;
TTC Oeynhausen;0;0;0;0;;
Sportverein 1930 Bergheim;8;2;0;0;;
DJK Nieheim;8;2;0;0;;
TuS RW Peckelsheim;9;3;0;0;;
TTC 68 Eichholz;0;0;0;0;;
Turnverein Riesel;3;9;0;0;;
SV Voerden;10;4;9;4;;
TTC Grevenhagen;0;0;0;0;;
SSV Blau-Weiss Blankenau;0;0;0;0;;
TTC Fortuna Frohnhausen;10;4;0;0;;
SV 23 Drenke e.V.;0;0;0;0;;
FC Buehne 1929;3;9;0;0;;
Westfalia 03 Scherfede-Rimbeck;0;0;0;0;;
TTV Warburg;11;5;0;0;;
SV Menne;7;1;3;8;;
TTV Gruen-Weiss Daseburg;12;6;0;0;;
TTC Borgentreich;12;6;5;10;;
VfB Koerbecke;0;0;0;0;;
SV Teutonia Ossendorf;5;11;10;5;;
FC Stahle 30 e.V.;4;10;0;0;;
TTC Diemeltal e.V.;0;0;0;0;;
SV Boekendorf;0;0;0;0;;
TTC Schuckenbaum;9;3;0;0;;
TV Blomberg;0;0;0;0;;
TTSG Erder;4;10;0;0;;
TTS Detmold e.V.;0;0;0;0;;
PSG Bad Salzuflen;0;0;0;0;;
RSV Hoerste;0;0;0;0;;
TTV Horn-Bad Meinberg e.V.;1;7;0;0;;
TSV Eintracht Belle;1;7;9;4;;
TTC Retzen;9;3;0;0;;
TuS Helpup;12;6;6;1;;
TuS Holzhausen/Externsteine;0;0;0;0;;
TuS Bexterhagen;7;1;0;0;;
TVE Valdorf;5;11;0;0;;
TuS Vossheide;0;0;0;0;;
TTV Lage e.V.;10;4;8;3;;
VfL Lieme;10;4;0;0;;
SuS Pivitsheide;0;0;0;0;;
VfL Hiddesen-Pivitsheide;6;12;0;0;;
VfL Lueerdissen;7;1;0;0;;
TuS Bega 09;6;12;0;0;;
TuS Schieder-Schwalenberg e.V.;9;3;0;0;;
TSV Bentrup-Lossbruch;1;7;0;0;;
TuS Ahmsen;0;0;0;0;;
TuS Brake/Lippe;0;0;0;0;;
SV Bavenhausen;8;2;0;0;;
TSV Elbrinxen 09;10;4;0;0;;
TTV BW Silixen;11;5;0;0;;
RSV Augustdorf;11;5;0;0;;
TV Barntrup;5;11;0;0;;
SV Diestelbruch/Mosebeck;0;0;0;0;;
CVJM Detmold;0;0;0;0;;
VfL Schlangen;11;5;0;0;;
Sportfreunde Berlebeck-Heiligenkirchen e.V.;3;9;0;0;;
TTG Lemgo e.V.;2;8;0;0;;
Sportfreunde Oesterholz-Kohlstaedt e.V.;0;0;0;0;;
TuS Langenholzhausen;2;8;0;0;;
TuS Stemwede;0;0;0;0;;
TTU Bad Oeynhausen e.V.;7;1;0;0;;
TSV Rothenuffeln;8;2;0;0;;
TuS Victoria Dehme e.V.;8;2;0;0;;
TSV Hahlen;0;0;0;0;;
TuS Lohe;0;0;0;0;;
RSV Westfalia Mindenerwald;0;0;0;0;;
TSG Rehme;9;3;0;0;;
SuS Veltheim;11;5;0;0;;
SV 1860 Minden;10;4;0;0;;
